,Estandar
1033,Samsung S10 Plus
1034,Samsung A51
1035,Samsung S21 Plus
1036,Samsung A03
1037,Samsung A73
1038,Samsung A10S
1039,Samsung A32
1040,Samsung A72
1041,Samsung A21S
1042,Samsung A52
1043,Samsung A32
1044,Samsung S10 Lite
1045,Samsung Z Flip 4
1046,Samsung S20 Fe
1047,Samsung S20 Fe
1048,Samsung A21S
1049,Samsung A02
1050,Samsung S10E
1051,Samsung A73
1052,Samsung A30S
1053,Samsung S20
1054,Samsung S21 Ultra
1055,Samsung A04
1056,Samsung A20
1057,Samsung Note 20
1058,Samsung S20 Fe
1059,Samsung A72
1060,Samsung A30S
1061,Samsung A03
1062,Samsung A23
1063,Samsung A04S
1064,Samsung S21
1065,Samsung S21 Fe
1066,Samsung Z Flip 3
1067,Samsung A02S
1068,Samsung A20S
1069,Samsung A12
1070,Samsung S21
1071,Samsung S20 Fe
1072,Samsung S20 Fe
1073,Samsung S22 Ultra
1074,Samsung S20 Fe
1075,Samsung A04
1076,Samsung Note 20
1077,Samsung S22 Ultra
1078,Samsung A53
1079,Samsung A12
1080,Samsung S21 Ultra
1081,Samsung A53
1082,Samsung A32
1083,Samsung S10E
1084,Samsung A32
1085,Samsung A02
1086,Samsung A03
1087,Samsung A51
1088,Samsung A12
1089,Samsung A12
1090,Samsung A30S
1091,Samsung S10 Plus
1092,Samsung A31
1093,Samsung A50
1094,Samsung S21 Fe
1095,Samsung A53
1096,Samsung S21 Fe
1097,Samsung S21 Ultra
1098,Samsung A51
1099,Samsung A10S
1100,Samsung S10
1101,Samsung A04S
1102,Samsung S21 Ultra
1103,Samsung A52
1104,Samsung S20 Fe
1105,Samsung S22 Ultra
1106,Samsung S20 Fe
1107,Samsung A10
1108,Samsung A13
1109,Samsung A04
1110,Samsung A12
1111,Samsung A03
1112,Samsung A03
1113,Samsung Z Fold 3
1114,Samsung S10 Plus
1115,Samsung S22
1116,Samsung A12
1117,Samsung Z Flip 4
1118,Samsung Note 20
1119,Samsung A73
1120,Samsung S20
1121,Samsung S22 Plus
1122,Samsung S21 Ultra
1123,Samsung A03
1124,Samsung A10S
1125,Samsung A22
1126,Samsung A31
1127,Samsung S20 Plus
1128,Samsung S22
1129,Samsung A30
1130,Samsung A20
1131,Samsung A04S
1132,Samsung A03
1133,Samsung A03
1134,Samsung A22
1135,Samsung A50
1136,Samsung S22 Ultra
1137,Samsung A21S
1138,Samsung A53
1139,Samsung A33
1140,Samsung A23
1141,Samsung A32
1142,Samsung A32
1143,Samsung A20S
1144,Samsung A31
1145,Samsung A21S
1146,Samsung A53
1147,Samsung A32
1148,Samsung S21
1149,Samsung A31
1150,Samsung A51
1151,Samsung A72
1152,Samsung A10
1153,Samsung S22 Ultra
1154,Samsung S22
1155,Samsung A20S
1156,Samsung S22 Ultra
1157,Samsung A50
1158,Samsung A04
1159,Samsung A04
1160,Samsung S21 Ultra
1161,Samsung A72
1162,Samsung A21S
1163,Samsung A12
1164,Samsung S21 Ultra
1165,Samsung A11
1166,Samsung A32
1167,Samsung A51
1168,Samsung A30
1169,Samsung A13
1170,Samsung A22
1171,Samsung A53
1172,Samsung S22 Ultra
1173,Samsung A30S
1174,Samsung S20 Fe
1175,Samsung A51
1176,Samsung A20S
1177,Samsung A20S
1178,Samsung A32
1179,Samsung Note 10 Plus
1180,Samsung S20 Fe
1181,Samsung A51
1182,Samsung A50
1183,Samsung A50
1184,Samsung A20S
