titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Motorola g13,130000,08-05-2023,02:08:06,"Maipú, Región Metropolitana"
Motorola Razr 5 G,65,07-05-2023,18:12:45,"Lo Barnechea, Región Metropolitana"
Motorola motog53 ,150000,07-05-2023,16:00:27,"La Pintana, Región Metropolitana"
Motorola one hyper,210000,07-05-2023,13:23:19,"Providencia, Región Metropolitana"
Motorola G53 (Nuevo),90000,07-05-2023,00:03:16,"Lo Barnechea, Región Metropolitana"
Motorola g50 5g,80000,06-05-2023,23:56:55,"Puente Alto, Región Metropolitana"
"Motorola Moto G13 128 gb nuevo,sellado",165000,05-05-2023,20:45:18,"Santiago, Región Metropolitana"
Celular Motorola,270000,05-05-2023,16:37:26,"La Cisterna, Región Metropolitana"
Ep450 Motorola vhf,205000,05-05-2023,13:31:02,"Maipú, Región Metropolitana"
Dep450 Motorola vhf,110000,05-05-2023,11:45:33,"Maipú, Región Metropolitana"
Radio base motorola digital dem 300 nueva embalada,150000,05-05-2023,11:42:08,"Cerro Navia, Región Metropolitana"
Motorola g22,80000,05-05-2023,11:34:31,"Santiago, Región Metropolitana"
Radio portátil Motorola EP350 VHF,250000,02-05-2023,22:27:38,"Quilicura, Región Metropolitana"
Motorola moto g22,100000,02-05-2023,22:12:23,"Las Condes, Región Metropolitana"
Radios Motorola EP350MX (3 ) y EP350,5000,02-05-2023,20:21:32,"Renca, Región Metropolitana"
Celular Motorola G 22,800,02-05-2023,12:28:16,"Pedro Aguirre Cerda, Región Metropolitana"
CARCASA Para Motorola Edge 30 Neo ,75000,01-05-2023,22:19:01,"Santiago, Región Metropolitana"
Carcasa Motorola,120000,01-05-2023,13:16:53,"San Ramón, Región Metropolitana"
Celular Motorola E13 nuevo ,90000,30-04-2023,20:40:01,"Peñalolén, Región Metropolitana"
Motorola G30 ,400000,30-04-2023,03:58:39,"Puente Alto, Región Metropolitana"
Motorola MotoG13 nuevo,130000,29-04-2023,16:47:33,"San José de Maipo, Región Metropolitana"
Motorola Edge 30 FUSION,75000,29-04-2023,12:52:18,"Isla de Maipo, Región Metropolitana"
Motorola G50 nuevo,80000,29-04-2023,12:40:23,"Colina, Región Metropolitana"
"Celular Motorola Moto G 60,",85000,29-04-2023,11:02:44,"Santiago, Región Metropolitana"
Motorola Moto g50,170000,27-04-2023,21:35:06,"Pedro Aguirre Cerda, Región Metropolitana"
Motorola G50 5G con cargador original,400000,26-04-2023,10:52:34,"Maipú, Región Metropolitana"
Motorola G53,25000,25-04-2023,22:54:09,"Puente Alto, Región Metropolitana"
Motorola edge 30 fusión 12 +3 gb ram y 256 gb,82000,24-04-2023,08:41:10,"Quilicura, Región Metropolitana"
 Motorola G22 nuevo,100000,22-04-2023,11:10:08,"Santiago, Región Metropolitana"
Motorola g5 plus,45000,22-04-2023,10:12:11,"Maipú, Región Metropolitana"
Motorola e22i,135000,21-04-2023,16:18:27,"Huechuraba, Región Metropolitana"
Motorola G13,120000,21-04-2023,14:46:20,"Quilicura, Región Metropolitana"
Radio motorola talkabout t200cl,70000,21-04-2023,13:10:16,"Santiago, Región Metropolitana"
Motorola One Fusion 128 GB azul océano 4 GB RAM,90000,20-04-2023,19:04:34,"Peñalolén, Región Metropolitana"
Teléfono inalámbrico para red fija MOTOROLA,20000,20-04-2023,10:03:23,"San Ramón, Región Metropolitana"
Motorola Moto g53 5g de 128gb,160000,19-04-2023,17:05:44,"Peñalolén, Región Metropolitana"
Celular Motorola g9 power,60000,19-04-2023,16:08:03,"Padre Hurtado, Región Metropolitana"
Celular Smartphone Motorola Moto Z Play,75000,18-04-2023,17:19:29,"Santiago, Región Metropolitana"
Motorola Moto G13 128 gb,180000,18-04-2023,15:37:13,"Recoleta, Región Metropolitana"
Motorola g13,125000,18-04-2023,10:07:58,"Puente Alto, Región Metropolitana"
Motorola e 6 plus,35000,17-04-2023,14:15:13,"Santiago, Región Metropolitana"
Motorola G54 nuevo,170000,17-04-2023,12:39:11,"Quilicura, Región Metropolitana"
Celular Motorola Moto G13,130000,16-04-2023,17:40:46,"Puente Alto, Región Metropolitana"
Nuevooocelular motorola g13,100000,16-04-2023,17:22:04,"Las Condes, Región Metropolitana"
Celular Motorola E7,75000,16-04-2023,08:59:12,"Puente Alto, Región Metropolitana"
Radio Motorola pro 5150,80000,15-04-2023,02:52:55,"Ñuñoa, Región Metropolitana"
Motorola g50 5g,150000,14-04-2023,14:45:26,"Colina, Región Metropolitana"
Celular Motorola g 20,90000,13-04-2023,13:33:57,"Maipú, Región Metropolitana"
Motorola G51 5g 128 gb,100000,12-04-2023,16:33:55,"Conchalí, Región Metropolitana"
Celular Motorola Moto E22i ,80000,11-04-2023,16:11:13,"Providencia, Región Metropolitana"
Motorola G 71 5G,130000,11-04-2023,14:47:31,"Quilicura, Región Metropolitana"
2 Radio Motorola Rep 450,380000,11-04-2023,06:04:52,"Peñalolén, Región Metropolitana"
Motorola moto g9 plus,90000,10-04-2023,10:44:36,"La Reina, Región Metropolitana"
Motorola Moto G3 Detalle,12000,10-04-2023,00:10:59,"Pudahuel, Región Metropolitana"
Motorola Moto G4 detalle,24000,10-04-2023,00:05:25,"Pudahuel, Región Metropolitana"
