titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular nuevo Huawei Nova Y70,100000,03-06-2023,11:23:57,"Santiago, Región Metropolitana"
Smartwatch huawei GT 2 46 mm,50000,02-06-2023,18:44:39,"La Florida, Región Metropolitana"
Smartwatch Huawei Watch FIT,50000,02-06-2023,18:36:57,"La Florida, Región Metropolitana"
Huawei modelo mrd-lx3,140000,02-06-2023,17:54:34,"Padre Hurtado, Región Metropolitana"
Huawei p20 pro 128gb negro 6 gb ram,100000,01-06-2023,10:49:35,"San Miguel, Región Metropolitana"
Huawei P30 lite,60000,31-05-2023,18:09:51,"La Florida, Región Metropolitana"
"Smart watch Huawei fit 6d4, usado",60000,30-05-2023,23:40:27,"La Reina, Región Metropolitana"
Huawei p smart 2019,380000,30-05-2023,21:04:15,"Puente Alto, Región Metropolitana"
Huawei mate 30 pro,120000,30-05-2023,19:38:36,"La Florida, Región Metropolitana"
Huawei P40 Lite,85000,30-05-2023,16:54:48,"Cerro Navia, Región Metropolitana"
Audifonos Huawei Freebuds Pro,70000,30-05-2023,12:49:05,"Estación Central, Región Metropolitana"
HUAWEI Y7a color negro  ,40000,29-05-2023,22:55:37,"San Miguel, Región Metropolitana"
Huawei y6,380000,29-05-2023,16:09:12,"Puente Alto, Región Metropolitana"
Huawei Mate 40 Pro,90000,28-05-2023,23:40:43,"La Florida, Región Metropolitana"
Huawei P40 ,140000,28-05-2023,17:43:18,"La Florida, Región Metropolitana"
Huawei P40 lite nuevo en caja sin ningún uso,35000,28-05-2023,12:19:58,"La Florida, Región Metropolitana"
Celular huawei y7 en buen estado funciona perfect,50000,28-05-2023,05:02:49,"Santiago, Región Metropolitana"
WiFi Router Huawei ,75000,26-05-2023,22:00:29,"La Florida, Región Metropolitana"
Huawei P30 lite,20000,26-05-2023,18:13:53,"Quinta Normal, Región Metropolitana"
Huawei y8s,50000,26-05-2023,10:58:42,"La Cisterna, Región Metropolitana"
Huawei P40 Lite pantalla trizada,70000,25-05-2023,18:49:16,"Las Condes, Región Metropolitana"
Celular huawei p20,70000,25-05-2023,07:30:42,"Santiago, Región Metropolitana"
Huawei p20 lite,70,24-05-2023,17:36:44,"Macul, Región Metropolitana"
Reloj Huawei watch gt 2,80000,23-05-2023,17:24:02,"Cerro Navia, Región Metropolitana"
Huawei Y7 2019,60000,23-05-2023,13:35:25,"Quilicura, Región Metropolitana"
Tablet Huawei,45000,23-05-2023,13:35:11,"Estación Central, Región Metropolitana"
Huawei p smart 2019,60000,23-05-2023,11:38:45,"San Joaquín, Región Metropolitana"
