titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi 10c,60000,25-06-2023,15:25:16,"La Pintana, Región Metropolitana"
Xiaomi redmi note 9,15000,24-06-2023,20:36:30,"Maipú, Región Metropolitana"
Cargador original Xiaomi,50000,24-06-2023,17:47:38,"Estación Central, Región Metropolitana"
Teléfono Xiaomi redmi 9a,120000,22-06-2023,20:41:17,"Colina, Región Metropolitana"
Xianomi note 11S,50000,22-06-2023,15:45:59,"Estación Central, Región Metropolitana"
Xiaomi redmi 9,80000,22-06-2023,12:41:18,"La Florida, Región Metropolitana"
Xiaomi Redmi 9 Gris Oscuro,80000,22-06-2023,10:26:20,"Santiago, Región Metropolitana"
Xiaomi Redmi 9 Gris oscuro,12000,22-06-2023,08:08:51,"Santiago, Región Metropolitana"
Xaomi Smart band Fit 5,115000,21-06-2023,21:27:39,"Peñalolén, Región Metropolitana"
Celular Xiaomi redmi 12 4gb ram 128gb rom,150000,21-06-2023,20:25:24,"San Ramón, Región Metropolitana"
Xiaomi Redmi 10S,70000,21-06-2023,20:22:42,"Maipú, Región Metropolitana"
Xiaomi Redmi 10 año 2022,95000,21-06-2023,16:33:28,"Buin, Región Metropolitana"
Xiaomi Redmi Note 8 Space Black 4Gb Nuevo Sellado,95000,20-06-2023,19:37:28,"Las Condes, Región Metropolitana"
Xiaomi redmi note 9,130000,20-06-2023,19:10:51,"Estación Central, Región Metropolitana"
Xiaomi redmi 12 c ,400000,19-06-2023,13:17:08,"La Florida, Región Metropolitana"
Celular Xiaomi 12T PRO 256gb,120000,18-06-2023,23:18:03,"Independencia, Región Metropolitana"
Celular Xiaomi Redmi 11S,300000,18-06-2023,10:48:38,"La Granja, Región Metropolitana"
Xiaomi 12 256gb/8ram,250000,16-06-2023,17:28:18,"Providencia, Región Metropolitana"
celular xaomi 12 Lite ,70000,15-06-2023,20:35:19,"Maipú, Región Metropolitana"
Nuevo sin caja Xiaomi S9,220000,15-06-2023,11:28:50,"Santiago, Región Metropolitana"
Xiami Redmi Note 11 Pro,100000,14-06-2023,21:06:50,"Santiago, Región Metropolitana"
Celular Smartphone Xiaomi Redmi 10C 64 Gb Azul,80000,14-06-2023,14:02:38,"Puente Alto, Región Metropolitana"
Xiaomi Watch S1 Activ,90000,14-06-2023,11:00:44,"Pudahuel, Región Metropolitana"
Xiaomi redmi note 9 pro,60000,14-06-2023,10:06:40,"La Cisterna, Región Metropolitana"
Xiaomi redmi note 8,360000,14-06-2023,07:45:57,"Maipú, Región Metropolitana"
Xiaomi Redmi Note 12 Pro Plus ,85000,13-06-2023,17:21:40,"Santiago, Región Metropolitana"
Xiaomi redmi 12c,10500,13-06-2023,14:07:10,"Maipú, Región Metropolitana"
Flex Carga Compatible Xiaomi Redmi Note 9s Y Note,5900,13-06-2023,12:42:01,"Providencia, Región Metropolitana"
Lente Camara Trasera Xiaomi Redmi Note 9 Pro 9s,6500,13-06-2023,12:41:44,"Providencia, Región Metropolitana"
Flex Main Compatible Con Xiaomi Redmi Note 9,8900,13-06-2023,12:33:58,"Providencia, Región Metropolitana"
Flex Main Xiaomi Redmi Note 9s / 9 Pro,39900,13-06-2023,12:17:33,"Providencia, Región Metropolitana"
Pantalla Xiaomi Redmi Note 9 Pro / Note 9s,115000,13-06-2023,12:17:20,"Providencia, Región Metropolitana"
Xiaomi 11T Pro 256 GB,260000,12-06-2023,18:24:04,"Las Condes, Región Metropolitana"
Xiaomi mi 10 5G,200000,12-06-2023,17:34:24,"Maipú, Región Metropolitana"
Cargador celular XIAOMI ORIGINAL TIPO C,10000,11-06-2023,16:20:43,"Santiago, Región Metropolitana"
Xiaomi Poco M5,100000,11-06-2023,09:54:06,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 10 5G,120000,11-06-2023,05:53:23,"San Ramón, Región Metropolitana"
Telefono xiaomi,100000,10-06-2023,20:06:25,"Maipú, Región Metropolitana"
Xiaomi 11 Lite 5G Snowflake White,130000,09-06-2023,22:55:35,"Santiago, Región Metropolitana"
Celular xiaomi redmi note 9,70000,09-06-2023,19:40:02,"Santiago, Región Metropolitana"
Xiaomi t12 pro,450000,09-06-2023,17:59:16,"Lo Prado, Región Metropolitana"
Xiaomi Mi 11T,210000,09-06-2023,17:55:16,"Estación Central, Región Metropolitana"
Xiomi mi 10T,180000,09-06-2023,11:26:31,"Quilicura, Región Metropolitana"
Xiamomi Redmi 9 64 Gb,90000,09-06-2023,09:19:44,"Maipú, Región Metropolitana"
Celular Xiaomi note8 y motorola g8 power lite,80000,08-06-2023,20:35:06,"San Joaquín, Región Metropolitana"
Celular xiaomi redmi 11 ,140000,08-06-2023,18:38:58,"Macul, Región Metropolitana"
"Celular Xiaomi Redmi Note 11 Pro, casi nuevo",170000,06-06-2023,18:34:34,"Santiago, Región Metropolitana"
Xiaomi 12 pro,500000,06-06-2023,17:53:15,"Providencia, Región Metropolitana"
Celular embalado Xiaomi Redmi Note 12,100000,06-06-2023,15:30:14,"Puente Alto, Región Metropolitana"
Xiaomi redmi 9t,60000,06-06-2023,13:39:18,"Santiago, Región Metropolitana"
Xiomi redmi note 12,150000,06-06-2023,11:59:24,"El Bosque, Región Metropolitana"
Xiaomi Redmi 9C Dual SIM 32 GB,80000,05-06-2023,22:25:17,"Santiago, Región Metropolitana"
Xiaomi redmi note 8 pro,75000,05-06-2023,21:42:42,"Lo Prado, Región Metropolitana"
Xiaomi redmi 10s,75000,05-06-2023,20:44:00,"Las Condes, Región Metropolitana"
Xiaomi Redmi note 8,60000,05-06-2023,19:45:26,"Ñuñoa, Región Metropolitana"
"Reloj ""Xiaomi Watch s1 active""",165000,05-06-2023,19:16:42,"Quilicura, Región Metropolitana"
Xiaomi x 3 pro 256 gb,150000,04-06-2023,22:11:57,"San Bernardo, Región Metropolitana"
Redmi Note 9 Pro Xiaomi,165000,04-06-2023,21:24:01,"La Granja, Región Metropolitana"
Celular xiaomi redmi 5g,100000,04-06-2023,12:34:13,"La Florida, Región Metropolitana"
Reloj MI Watch Xiaomi ,70000,03-06-2023,20:19:58,"La Florida, Región Metropolitana"
Smartband Xiaomi Mi band,60000,02-06-2023,20:25:55,"La Florida, Región Metropolitana"
Xiaomi Redmi Note 12 Mint Green 128/4 GB,109000,02-06-2023,15:23:49,"Providencia, Región Metropolitana"
Xiaomi Redmi Note 9,100000,02-06-2023,02:22:55,"Santiago, Región Metropolitana"
Xiaomi 11 pro,260,01-06-2023,16:11:44,"Recoleta, Región Metropolitana"
Cargador Xiaomi original 67W,21000,01-06-2023,09:06:12,"Santiago, Región Metropolitana"
Cargador Xiaomi original 120w,30000,01-06-2023,09:03:40,"Santiago, Región Metropolitana"
Xiaomi redmi a 10 inpeque nuevo ,150000,31-05-2023,20:47:51,"Peñalolén, Región Metropolitana"
Xiaomi Redmo Note Pro 9,80000,31-05-2023,19:20:24,"La Cisterna, Región Metropolitana"
Xiaomi redmi 11 pro 5G (nuevo sellado),220000,31-05-2023,15:45:27,"Santiago, Región Metropolitana"
Xiaomi 9T ( nuevo sellado),110000,31-05-2023,15:39:22,"Santiago, Región Metropolitana"
